,Vmag,Per
0,25.033,12.91
1,24.981,18.75
2,25.567,7.85
3,24.231,27.1
4,23.731,29.72
5,24.201,17.54
6,24.163,28.58
7,24.383,18.75
8,24.534,27.1
9,23.834,27.1
10,25.271,21.48
11,24.857,17.26
12,24.46,14.83
13,24.653,28.58
14,24.791,17.3
15,24.54,21.83
16,25.001,17.34
17,24.22,28.58
18,24.54,23.93
19,24.524,12.45
20,24.704,14.59
21,25.145,15.7
22,24.995,16.03
23,24.845,12.05
24,25.006,16.03
25,24.849,11.4
26,24.972,10.0
27,24.871,17.34
28,24.809,25.35
29,25.071,14.19
30,25.428,7.59
31,25.071,12.05
32,25.041,12.05
33,25.272,10.74
34,25.49,15.7
35,24.868,17.54
36,25.363,12.13
37,25.193,7.82
38,24.869,11.38
39,25.034,11.3
40,25.196,15.7
41,25.151,11.86
42,25.374,7.59
43,25.435,9.04
44,25.041,15.63
45,25.166,8.07
46,25.592,8.45
47,25.297,9.82
48,25.066,5.22
49,24.384,21.53
50,26.034,6.05
51,24.256,24.21
52,23.86,28.58
53,24.706,19.91
54,24.492,14.29
55,24.368,27.1
56,23.995,19.91
57,24.535,25.82
58,25.083,15.63
59,24.596,14.83
